iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.047483608,0.01,4.16,0,0,4.16,1,0.8,3,4,5,0.041599985,3
2,0.046406303,0.01,4.2,0,0,4.2,1,0.8,3,4,5,0.041999985,3
3,0.0403242,0.013333333,4.21,0,0,4.21,1,0.8,3,4,5,0.0561333,4
4,0.067570195,0.02,4.1300006,0,0,4.132667,1,0.8,3,4,5,0.082599975,6
5,0.0629989,0.023333333,4.1571436,0,0,4.1695247,1,0.8,3,4,5,0.09699997,7
6,0.06281721,0.026666665,4.11,0,0,4.123929,1,0.8,3,4,5,0.10959997,8
7,0.080258206,0.030000001,4.035556,0,0,4.076786,1,0.8,3,4,5,0.12106667,9
8,0.0843944,0.033333335,3.9380002,0,0,3.9916666,1,0.8,3,4,5,0.13126668,10
9,0.085034005,0.036666665,3.796363,0,0,3.9253585,1,0.8,3,4,5,0.13919999,11
10,0.086686894,0.04,3.6933331,0,0,3.819005,1,0.8,3,4,5,0.14773333,12
11,0.0917564,0.043333333,3.5876925,0,0,3.7562194,1,0.8,3,4,5,0.15546668,13
12,0.09236199,0.046666667,3.4657142,0,2.9876666,3.6213622,1,0.8,3,4,5,0.16173333,14
13,0.0957689,0.05,3.2906659,0,2.8594284,3.4983346,1,0.8,3,4,5,0.16453333,15
14,0.09931719,0.05333333,3.22375,0,2.8327625,3.4745965,1,0.8,3,4,5,0.17193332,16
15,0.1072973,0.05666667,3.025883,0,2.6428094,3.3054667,1,0.8,3,4,5,0.17146665,17
16,0.11206353,0.060000002,3.0133333,0,2.6783013,3.277513,1,0.8,3,4,5,0.18079996,18
17,0.116451405,0.06333333,2.9031582,0,2.644278,3.1544514,1,0.8,3,4,5,0.18386665,19
18,0.12043719,0.06666667,2.8599997,0,2.5745635,3.1348069,1,0.8,3,4,5,0.19066666,20
19,0.12326651,0.07,2.6923804,0,2.476722,2.971063,1,0.8,3,4,5,0.18846664,21
20,0.126381,0.07333333,2.671818,0,2.5064683,2.9204247,1,0.8,3,4,5,0.19593333,22
21,0.12947328,0.07333333,2.67,0,2.4397244,2.935715,1,0.8,3,4,5,0.19579996,22
22,0.13203019,0.07666667,2.5226083,0,2.3426418,2.833951,1,0.8,3,4,5,0.1934,23
23,0.13698119,0.08,2.49,0,2.3039439,2.7755969,1,0.8,3,4,5,0.19919996,24
24,0.14264032,0.083333336,2.336,1.6980002,2.114464,2.6513374,1,0.8,3,4,5,0.19466665,25
25,0.14084852,0.086666666,2.3223076,0,2.1543376,2.6448166,1,0.8,3,4,5,0.20126663,26
26,0.14860833,0.09,2.2037036,0,2.0206144,2.5762427,1,0.8,3,4,5,0.19833331,27
