iteration,time,density,average_speed,flow
1,0.00061387,0.01,4.5999994,0.045999996
2,0.00044934,0.01,4.6666665,0.04666666
3,0.00039705,0.013333333,4.575,0.061
4,0.00058881,0.02,4.6333337,0.092666656
5,0.000556,0.023333333,4.528571,0.105666675
6,0.00057216,0.026666665,4.6375,0.12366667
7,0.00068584,0.030000001,4.588889,0.13766667
8,0.0007554,0.033333335,4.55,0.15166666
9,0.00078936,0.036666665,4.590909,0.16833332
10,0.00085593,0.04,4.575,0.183
11,0.00080586,0.043333333,4.576923,0.19833334
12,0.00082146,0.046666667,4.65,0.21700001
13,0.00093057,0.05,4.626666,0.23133333
14,0.00085001,0.05333333,4.6125,0.24599998
15,0.00094913,0.05666667,4.6058826,0.261
16,0.00102284,0.060000002,4.6277776,0.27766666
17,0.00102641,0.06333333,4.5684214,0.2893333
18,0.00099865,0.06666667,4.63,0.30866665
19,0.0011039,0.07,4.542857,0.31799996
20,0.00100391,0.07333333,4.55,0.33366662
21,0.0011217,0.07333333,4.5590906,0.33433327
22,0.00112993,0.07666667,4.5478263,0.3486666
23,0.00109697,0.08,4.5125003,0.36099997
24,0.00116424,0.083333336,4.42,0.3683333
25,0.00120821,0.086666666,4.473077,0.38766667
26,0.00136223,0.09,4.481482,0.40333337
27,0.00132138,0.093333334,4.382143,0.409
28,0.00136201,0.096666664,4.2551723,0.41133338
29,0.00143818,0.1,4.033334,0.40333334
30,0.00148997,0.10333333,3.9258065,0.40566668
31,0.00150373,0.10666666,4,0.42666668
32,0.00157449,0.11000001,3.933333,0.4326667
33,0.00163287,0.11333334,3.5794117,0.40566668
34,0.00175567,0.11666667,3.6342857,0.42400002
35,0.00172481,0.120000005,3.4499996,0.41400003
36,0.00176419,0.123333335,3.4054055,0.42000002
37,0.00210372,0.12666667,3.3605263,0.42566666
38,0.00183736,0.13,3.1487179,0.40933332
39,0.00209597,0.13333334,3.2575002,0.43433338
40,0.00203974,0.13666667,3.282927,0.44866666
41,0.00198563,0.14,2.9738097,0.41633335
42,0.00218902,0.14333333,2.8023257,0.4016667
43,0.00213844,0.14666666,2.8727272,0.4213333
44,0.0021487,0.14999999,2.702222,0.40533328
45,0.00242515,0.15333334,2.8369567,0.43500003
46,0.00243938,0.15666667,2.719149,0.42600003
47,0.00254405,0.16,2.6354167,0.42166668
48,0.00252309,0.16333334,2.6959183,0.44033337
49,0.00261522,0.16666667,2.532,0.42200002
50,0.00270543,0.17,2.4490197,0.41633335
51,0.0027714,0.17333333,2.4038463,0.4166667
52,0.00288382,0.17666666,2.4584904,0.43433326
53,0.00284371,0.18,2.333333,0.42000002
54,0.00310581,0.18333334,2.3090909,0.42333335
55,0.00310208,0.18666667,2.1732142,0.40566668
56,0.00342322,0.19,2.2596493,0.42933336
57,0.00347368,0.19333333,2.1672416,0.419
58,0.0035024,0.19666666,2.1525424,0.42333335
59,0.00378135,0.2,2.06,0.41200003
60,0.0036338,0.20333333,2.07541,0.42200002
61,0.00394376,0.20666666,2.0741935,0.42866668
62,0.00411046,0.21,2.0460317,0.42966667
63,0.00386638,0.21333332,1.915625,0.40866667
64,0.00426689,0.21666665,2.0276923,0.4393333
65,0.00443423,0.22000001,1.9424242,0.42733335
66,0.00433452,0.22333334,1.8298508,0.4086667
67,0.00445869,0.22666667,1.9338233,0.43833333
68,0.00472732,0.23,1.8275362,0.4203334
69,0.00483218,0.23333333,1.7571428,0.41
70,0.00480435,0.23666666,1.8169014,0.43
71,0.00499026,0.24000001,1.6736113,0.4016667
72,0.005069871,0.24333334,1.6958904,0.4126667
73,0.0053536,0.24666667,1.6972975,0.4186667
74,0.00561811,0.25,1.6920002,0.42300004
75,0.00556228,0.25333333,1.7105262,0.43333334
76,0.00565401,0.25666666,1.6077921,0.41266665
77,0.00568037,0.26,1.5576923,0.40500003
78,0.0058943,0.26333335,1.6797469,0.44233337
79,0.00584517,0.26666668,1.595,0.4253334
80,0.00592905,0.27,1.528395,0.4126667
81,0.00616617,0.27333334,1.6121953,0.44066668
82,0.00630171,0.27666667,1.4614458,0.40433335
83,0.00652607,0.28,1.4083333,0.39433336
84,0.00654648,0.28333333,1.4247059,0.40366668
85,0.006726731,0.28666666,1.372093,0.3933333
86,0.006786299,0.29,1.3793104,0.4
87,0.007086051,0.29333332,1.4954545,0.43866667
88,0.00705014,0.29666665,1.3820224,0.41000003
89,0.007286951,0.29999998,1.3755555,0.41266662
90,0.00733254,0.30333334,1.4032967,0.42566672
91,0.00756533,0.30666667,1.2978262,0.39800003
92,0.00776573,0.31,1.3311827,0.41266665
93,0.00771537,0.31333333,1.2787234,0.40066665
94,0.007793979,0.31666666,1.2631578,0.4
95,0.00809424,0.32,1.2541666,0.40133333
96,0.00810257,0.32333335,1.213402,0.3923334
97,0.00818405,0.32666668,1.2336733,0.40300003
98,0.00867402,0.33,1.2101009,0.39933336
99,0.008561601,0.33333334,1.1949999,0.39833337
100,0.00869637,0.33666667,1.1534655,0.38833335
101,0.008907421,0.34,1.1960785,0.4066667
102,0.009200639,0.34333333,1.1737864,0.40300003
103,0.009544641,0.34666666,1.0461538,0.36266667
104,0.009568689,0.35,1.1657144,0.40800005
105,0.00947413,0.35333332,1.104717,0.39033332
106,0.00980667,0.35666668,1.080374,0.38533336
107,0.00971952,0.36,1.075,0.38700002
108,0.01002981,0.36333334,1.0706422,0.38900003
109,0.01010336,0.36666667,1.1172727,0.4096667
110,0.01036994,0.37,1.0297296,0.38099998
111,0.010545409,0.37333333,1.042857,0.38933334
112,0.01081163,0.37666667,1.0345132,0.38966668
113,0.01070989,0.38,0.9578947,0.364
114,0.0109379,0.38333333,1.0113044,0.38766664
115,0.011331759,0.38666666,0.96206903,0.37199998
116,0.01136817,0.39,0.9717949,0.37899998
117,0.011360379,0.39333332,0.94322026,0.371
118,0.01176764,0.39666668,0.92941177,0.3686667
119,0.01213252,0.4,0.9008333,0.3603333
120,0.012007369,0.40333334,0.9619834,0.388
121,0.012195939,0.40666667,0.90409833,0.36766663
122,0.012577811,0.41,0.90975606,0.37299997
123,0.01301544,0.41333333,0.8919355,0.36866662
124,0.01268488,0.41666666,0.8456,0.3523333
125,0.012995139,0.42,0.86190474,0.36199993
126,0.01330536,0.42333332,0.8755906,0.37066662
127,0.013556918,0.42666665,0.8109375,0.34599996
128,0.01409891,0.42999998,0.7899224,0.33966663
129,0.01392256,0.4333333,0.81923074,0.35499993
130,0.01392692,0.43666664,0.83129776,0.36299995
131,0.013937441,0.44000003,0.8257576,0.36333337
132,0.013986109,0.44333336,0.80902255,0.35866672
133,0.014436519,0.4466667,0.77835816,0.34766668
134,0.01463536,0.45000002,0.7525926,0.3386667
135,0.014730009,0.45333335,0.71838236,0.32566664
136,0.014861901,0.45666668,0.72627735,0.33166665
137,0.015268159,0.46,0.73985505,0.3403333
138,0.015391061,0.46333334,0.7366907,0.34133333
139,0.015496431,0.46666667,0.73142856,0.3413333
140,0.015800241,0.47,0.7148936,0.33599997
141,0.01570709,0.47333333,0.71760565,0.33966663
142,0.01639894,0.47666666,0.7055944,0.3363333
143,0.01634315,0.48000002,0.67569447,0.32433334
144,0.01626132,0.48333335,0.6951724,0.33600003
145,0.01653808,0.48666668,0.68561643,0.33366662
146,0.01687118,0.49,0.662585,0.32466665
147,0.0170076,0.49333334,0.6817568,0.33633333
148,0.01736128,0.49666667,0.6865772,0.34100005
