iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.0508914,0.01,4.7800007,0,0,0,1,0.2,3,5,5,0.04779998,3
2,0.047024503,0.01,4.786667,0,4.796667,0,1,0.2,3,5,5,0.047866646,3
3,0.041822795,0.013333333,4.785,0,4.7833333,4.7966666,1,0.2,3,5,5,0.063799955,4
4,0.062265303,0.02,4.793333,0,4.792,4.7966676,1,0.2,3,5,5,0.09586664,6
5,0.0601494,0.023333333,4.828571,0,4.8416667,4.8220005,1,0.2,3,5,5,0.112666644,7
6,0.060078803,0.026666665,4.8,0,4.8186674,4.7933335,1,0.2,3,5,5,0.12799998,8
7,0.076999165,0.030000001,4.8022203,0,4.8040013,4.796667,1,0.2,3,5,5,0.14406669,9
8,0.07932761,0.033333335,4.7819996,0,4.8057146,4.7720013,1,0.2,3,5,5,0.1594,10
9,0.08352691,0.036666665,4.7909083,0,4.7700005,4.8103347,1,0.2,3,5,5,0.17566666,11
10,0.084600985,0.04,4.775,0,4.781833,4.7762384,1,0.2,3,5,5,0.19099994,12
11,0.08976848,0.043333333,4.7830772,0,4.8019285,4.7707615,1,0.2,3,5,5,0.20726661,13
12,0.09580279,0.046666667,4.792858,0,4.7999606,4.7884994,1,0.2,3,5,5,0.22366662,14
13,0.096870214,0.05,4.7800016,0,4.769365,4.8083725,1,0.2,3,5,5,0.23899998,15
14,0.105752386,0.05333333,4.755,0,4.7366824,4.7959285,1,0.2,3,5,5,0.2536,16
15,0.1102876,0.05666667,4.7788253,0,4.7900705,4.78423,1,0.2,3,5,5,0.27080005,17
16,0.11818289,0.060000002,4.7744446,0,4.759323,4.8034444,1,0.2,3,5,5,0.28646672,18
17,0.117192686,0.06333333,4.7547364,0,4.748828,4.7889204,1,0.2,3,5,5,0.30113333,19
18,0.12161132,0.06666667,4.7320004,0,4.7785354,4.7317286,1,0.2,3,5,5,0.3154667,20
19,0.1301019,0.07,4.719047,0,4.7253537,4.7642517,1,0.2,3,5,5,0.3303334,21
20,0.1313601,0.07333333,4.618181,0,4.614181,4.7293434,1,0.2,3,5,5,0.33866677,22
21,0.1331816,0.07333333,4.6972733,0,4.7119718,4.761824,1,0.2,3,5,5,0.34446666,22
22,0.1313695,0.07666667,4.5886955,0,4.590165,4.748651,1,0.2,3,5,5,0.3518,23
23,0.13324969,0.08,4.394167,0,4.410895,4.6126614,1,0.2,3,5,5,0.35153332,24
24,0.1396891,0.083333336,4.3944,0,4.4320445,4.5905843,1,0.2,3,5,5,0.36620003,25
25,0.14005171,0.086666666,4.3330765,0,4.3445535,4.603926,1,0.2,3,5,5,0.37553337,26
26,0.14590947,0.09,4.244445,0,4.2601094,4.6039557,1,0.2,3,5,5,0.38199997,27
27,0.14569898,0.093333334,4.117857,0,4.0553017,4.550674,1,0.2,3,5,5,0.3843333,28
28,0.15328671,0.096666664,4.077242,0,4.0216875,4.4800725,1,0.2,3,5,5,0.39413333,29
29,0.15499641,0.1,4.0053334,0,4.00675,4.4441133,1,0.2,3,5,5,0.40053332,30
30,0.16095771,0.10333333,3.915484,2.667619,3.8934274,4.3644934,1,0.2,3,5,5,0.40460002,31
31,0.16377689,0.10666666,3.92375,0,3.9464538,4.3870344,1,0.2,3,5,5,0.41853324,32
32,0.17828143,0.11000001,3.7818182,2.5553646,3.846195,4.2288604,1,0.2,3,5,5,0.41599995,33
33,0.18188941,0.11333334,3.6882355,2.5433092,3.7493951,4.06588,1,0.2,3,5,5,0.41800007,34
