iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.053223405,0.01,4.6133337,0,0,0,0.8,0.4,4,5,5,0.046133313,3
2,0.0499915,0.01,4.5400004,0,0,0,0.8,0.4,4,5,5,0.04539998,3
3,0.0451877,0.013333333,4.615,0,4.6533327,4.6,0.8,0.4,4,5,5,0.061533295,4
4,0.062915,0.02,4.613333,0,4.6416664,4.59,0.8,0.4,4,5,5,0.09226663,6
5,0.0605248,0.023333333,4.551428,0,4.5286665,4.572,0.8,0.4,4,5,5,0.10619996,7
6,0.06351489,0.026666665,4.5625,0,4.6229997,4.497667,0.8,0.4,4,5,5,0.12166664,8
7,0.07917129,0.030000001,4.575556,0,4.5949054,4.5713334,0.8,0.4,4,5,5,0.1372667,9
8,0.083434395,0.033333335,4.6140003,0,4.624381,4.6086674,0.8,0.4,4,5,5,0.1538,10
9,0.08680281,0.036666665,4.6036367,0,4.571786,4.646001,0.8,0.4,4,5,5,0.1688,11
10,0.09060961,0.04,4.565,0,4.5385,4.6117616,0.8,0.4,4,5,5,0.1826,12
11,0.0926202,0.043333333,4.603078,0,4.607373,4.5963335,0.8,0.4,4,5,5,0.19946663,13
12,0.0955848,0.046666667,4.5371428,0,4.554722,4.5284758,0.8,0.4,4,5,5,0.21173327,14
13,0.10257401,0.05,4.5680013,0,4.551166,4.5982456,0.8,0.4,4,5,5,0.22839993,15
14,0.1143268,0.05333333,4.5625,0,4.594583,4.5672226,0.8,0.4,4,5,5,0.24333327,16
15,0.1173482,0.05666667,4.541177,0,4.552048,4.5889997,0.8,0.4,4,5,5,0.25733334,17
16,0.12374691,0.060000002,4.4633336,0,4.482257,4.5087266,0.8,0.4,4,5,5,0.26780003,18
17,0.13036859,0.06333333,4.491579,0,4.491293,4.55665,0.8,0.4,4,5,5,0.28446665,19
18,0.14821029,0.06666667,4.4139996,0,4.4559846,4.476782,0.8,0.4,4,5,5,0.29426673,20
19,0.13540012,0.07,4.3104763,0,4.309811,4.4821196,0.8,0.4,4,5,5,0.30173331,21
20,0.13815321,0.07333333,4.325454,0,4.3281817,4.510644,0.8,0.4,4,5,5,0.31720006,22
21,0.133922,0.07333333,4.2863636,0,4.296427,4.436642,0.8,0.4,4,5,5,0.31433335,22
22,0.13737671,0.07666667,4.2026086,0,4.186454,4.4323277,0.8,0.4,4,5,5,0.3222,23
