iteration	time	average_speed	average_speed_lane_0	average_speed_lane_1	average_speed_lane_2	vehicle_count
103	0.0949849	2.7916667	3.2857144	2	3.4285715	48
104	0.09573	2.6666667	2.8	2.1578948	3.2142856	48
105	0.0966916	2.625	3	2.375	2.5	48
106	0.0974525	2.6041667	2.8	2.7222223	2.2666667	48
107	0.0984243	2.5208333	2.3529413	3.2222223	1.7692307	48
108	0.0993312	2.5208333	2	3	2.6	48
109	0.1003121	2.5833333	2.125	2.7777777	2.857143	48
110	0.1013928	2.75	2.8235295	2.5882354	2.857143	48
111	0.1021068	2.7916667	2.8235295	2.5263157	3.1666667	48
112	0.1028716	2.6666667	2.3529413	2.2222223	3.6923077	48
113	0.1035934	2.6458333	1.9333333	3.3333333	2.5333333	48
114	0.1042947	2.125	1.9411764	2.3529413	2.0714285	48
115	0.105052896	2	1.65	2.1333334	2.3846154	48
116	0.1057985	2.0416667	1.75	2.0588236	2.5454545	48
117	0.1064628	2.2291667	1.7391304	2.3	2.9333334	48
118	0.1073518	2.3333333	1.9047619	2.5333333	2.8333333	48
119	0.108200096	2.4375	1.9523809	2.4705882	3.4	48
120	0.1088967	2.4166667	1.4444444	2.7368422	3.4545455	48
121	0.109639	2.4166667	1.2	3.0588236	3.6363637	48
122	0.11036649	2.5	1.5625	2.2777777	3.857143	48
123	0.111349106	2.25	2.0588236	2.0588236	2.7142856	48
124	0.1121846	2.4375	2.0714285	2.36	3.2222223	48
125	0.1130407	2.5	2.4375	2.1904762	3.1818182	48
126	0.1139708	2.8333333	2.9444444	2.15	4	48
127	0.1151277	3.0625	2.8888888	2.6363637	4.625	48
128	0.1164418	2.9791667	2.5714285	2.5882354	4.5	48
129	0.117674	2.8125	2.25	2.6666667	4.2	48
130	0.1184278	2.9583333	2.5	2.65	4.4	48
131	0.11932871	3.0416667	2.45	2.4375	4.8333335	48
132	0.120054096	2.6875	1.9444444	3	3.3333333	48
133	0.1207534	2.9791667	2.4705882	2.85	4	48
134	0.12154289	2.9791667	2.4375	2.9	3.8333333	48
135	0.1222564	2.7291667	2.7894738	2.5625	2.8461537	48
136	0.1230042	2.6875	2.9	2.4117646	2.7272727	48
137	0.123693906	2.5208333	2.6842105	2.5	2.2727273	48
138	0.1244534	2.5625	2.631579	2.5882354	2.4166667	48
139	0.125259	2.8333333	2.75	3.0588236	2.6363637	48
140	0.1260169	2.6666667	2.2105262	2.9411764	3	48
141	0.1266759	3.0416667	3	2.8095238	3.4615386	48
142	0.1274433	2.6041667	3.6153846	1.8095238	2.857143	48
143	0.1283322	2.75	3.4	2.368421	2.5714285	48
144	0.1292095	2.4583333	3.5	1.9	2.2142856	48
145	0.1299128	2.75	3.4375	2.3157895	2.5384614	48
146	0.1309827	2.8541667	3.1875	2.3333333	3.142857	48
147	0.1319143	3.0416667	3.368421	2.5333333	3.142857	48
148	0.1328917	3.0625	3.1111112	3	3.0666666	48
149	0.1337312	2.7708333	2.3888888	3.2	2.8	48
150	0.13435009	2.5208333	1.8666667	2.9	2.6923077	48
151	0.1349791	2.4375	2.4705882	2.3888888	2.4615386	48
152	0.1357472	2.3541667	2.2	2.1818182	2.909091	48
153	0.136499	2.3125	2.5	1.7142857	3.1818182	48
154	0.1372395	2.3541667	2	2.25	3	48
155	0.13805489	2.4375	2.25	2.4666667	2.6923077	48
156	0.138816	2.3541667	2.2	2.5	2.4285715	48
157	0.1394446	2.5	2.4210527	2.4705882	2.6666667	48
158	0.1400985	2.3541667	2.0555556	2.4	2.6666667	48
159	0.1408058	2.5833333	2.1052632	2.8	3	48
160	0.1415372	2.625	1.95	2.9285715	3.2857144	48
161	0.1422991	2.75	2.2777777	2.7058823	3.4615386	48
162	0.143053	2.7708333	2.4285715	2.625	3.6363637	48
163	0.1438289	2.6875	2.0952382	2.5294118	4.2	48
164	0.1445756	2.75	1.9473684	3.2222223	3.3636363	48
165	0.1453592	2.7083333	2.2	2.3125	4.0833335	48
166	0.1461978	2.7083333	2.25	2.2941177	4.181818	48
167	0.1469561	2.8541667	2.2857144	2.5333333	4.25	48
168	0.1479968	2.8541667	2.4444444	2.5263157	4.090909	48
169	0.1494464	2.9791667	2.7222223	2.7222223	3.75	48
170	0.1502696	2.5416667	2.2857144	2.625	2.909091	48
171	0.15100461	2.7916667	2.2631578	2.9411764	3.4166667	48
172	0.15179901	2.6875	2.3157895	2.764706	3.1666667	48
173	0.1524954	2.7291667	2.15	3.2666667	3	48
174	0.15328391	2.6875	2.1052632	2.6111112	3.8181818	48
