iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,0.0013817,0.0625,0.0625,0.0625,0.0625,48
2,0.0029676,0.1875,0.1875,0.1875,0.1875,48
3,0.0044832,0.29166666,0.3125,0.1875,0.375,48
4,0.0058216,0.45833334,0.4375,0.3125,0.625,48
5,0.0071982,0.6458333,0.53333336,0.5882353,0.8125,48
6,0.0087674,0.8125,0.73333335,0.7058824,1,48
7,0.009616,1.0416666,1,0.8125,1.2941177,48
8,0.010671,1.3125,1.1428572,1.2352941,1.5294118,48
9,0.0114139,1.4375,1.3571428,1.117647,1.8235294,48
10,0.0133326,1.6666666,1.7333333,0.93333334,2.2222223,48
11,0.0142962,2.0208333,2.1333334,1.5,2.4117646,48
12,0.015542,2.1458333,2.3333333,1.8125,2.2941177,48
13,0.0164901,2.4166667,2.5333333,2.0625,2.6470587,48
14,0.0174467,2.4583333,2.7333333,2.4,2.2777777,48
15,0.0187247,2.5208333,3.0666666,2.4117646,2.125,48
16,0.0195258,2.4791667,3.5625,1.8125,2.0625,48
17,0.0206848,2.2083333,2.9333334,2,1.7647059,48
18,0.0214828,2.1041667,2.4705882,2,1.8,48
19,0.0225466,1.8958334,2.125,1.8125,1.75,48
20,0.0232808,1.7916666,2.0625,1.2941177,2.0666666,48
21,0.0241497,1.9166666,1.8888888,1.5333333,2.3333333,48
22,0.0250463,1.875,1.55,1.9230769,2.2666667,48
23,0.0267488,2.0625,1.2941177,2.2941177,2.7142856,48
24,0.0293497,2.2083333,1.5714285,2.2380953,2.8461537,48
25,0.0311105,2.0625,1.6428572,1.8571428,2.8461537,48
26,0.0324003,1.9375,1.4285715,2,2.3846154,48
27,0.0335392,2.0625,1.7692307,1.7142857,2.857143,48
28,0.0344521,2.0416667,2.4285715,1.2631578,2.6666667,48
29,0.0354424,2.375,3.0588236,1.6470588,2.4285715,48
30,0.0368101,2.4583333,2.7894738,2.25,2.2307692,48
31,0.0375052,2.2916667,2.4666667,2.05,2.4615386,48
32,0.0383861,2.1666667,2.125,2.2105262,2.1538463,48
