iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,2.0081224,2.7083333,2.75,2.625,2.75,48
2,2.963008,2.0416667,2.1111112,1.6470588,2.4615386,48
3,2.508319,3.2916667,2.5555556,2.631579,5.6363635,48
4,3.2220004,2.7291667,2.7222223,2.4117646,3.1538463,48
5,2.9487395,3.0625,2.235294,2.5882354,4.642857,48
6,5.3260913,2.75,2.1111112,3.25,3,48
7,4.7288723,2.8958333,3.642857,1.8888888,3.375,48
8,2.6022363,2.5,2.7333333,2.3157895,2.5,48
9,2.6117272,2.8333333,1.8888888,3.5,3.2857144,48
10,2.551816,3.0416667,2.75,2.1578948,4.6923075,48
11,2.7695775,2.9375,3.6,2.2,3,48
12,3.1483834,2.5416667,2.6470587,2.0588236,3,48
13,3.620083,3.0208333,2.8888888,3.4,2.8,48
14,4.5172577,2.8958333,1.6,3.6470587,4.090909,48
15,6.58145,2.875,2.1666667,2.857143,3.6875,48
16,6.6709676,2.75,2.7058823,2.4117646,3.2142856,48
17,6.901412,2.4791667,1.7619047,2.235294,4.4,48
18,6.5436673,2.8125,3.3157895,2.3076923,2.625,48
19,6.6507215,2.9791667,2.7894738,2.6470587,3.75,48
20,6.5105805,2.2916667,2.6666667,2.3,1.8461539,48
21,6.414026,2.3958333,2.6111112,2.4375,2.0714285,48
22,6.553061,2.9166667,2.7222223,2.5333333,3.5333333,48
23,6.495137,2.9583333,2.75,2.8,3.2941177,48
24,6.5113525,2.5833333,2.368421,2.0625,3.5384614,48
25,6.4868755,2.6458333,1.9,3,3.5,48
26,6.6776857,2.9375,1.8947369,3.2105262,4.4,48
27,6.5911417,2.9583333,2.5555556,3.375,3,48
28,6.482898,2.375,2.2777777,2.0588236,2.9230769,48
29,6.509726,2.9375,2.1578948,3,3.8125,48
30,6.521977,2.7708333,3,2.55,2.8333333,48
31,6.57261,2.9583333,2.6111112,3.1176472,3.2307692,48
32,6.5300374,3.2083333,2.8125,3.3809524,3.4545455,48
33,6.551351,2.4375,2.2941177,2.8235295,2.142857,48
34,6.611296,3.1458333,3,2.8947368,3.75,48
35,6.490592,3.0208333,2.7727273,2.7857144,3.75,48
36,6.649837,2.9791667,3.1875,2.4736843,3.4615386,48
37,6.757534,3.0208333,2.7777777,3.142857,3.2222223,48
38,6.4713936,3.125,2.5333333,2.9444444,3.9333334,48
39,6.563246,2.2916667,1.8333334,2.047619,3.7777777,48
40,6.550933,2.4375,1.5555556,3.3888888,2.3333333,48
41,6.659258,3.1041667,2.5714285,3.1333334,4,48
42,6.5500154,3.6458333,3.5789473,4.0666666,3.2857144,48
43,6.531247,3.2708333,3.0454545,3.6666667,3.2857144,48
44,6.546049,2.9375,3.4705882,2,3.4285715,48
45,6.634645,2.9166667,3.2,2.1904762,3.8333333,48
46,6.7021475,3.0833333,3,3.0588236,3.25,48
47,6.9198265,2.3125,2.2777777,2.4285715,2.25,48
48,6.5971694,2.6458333,2.7333333,2.368421,2.9285715,48
49,6.578461,2.6458333,2.5,2.625,3,48
50,6.656068,3.1666667,3.6875,2.7222223,3.142857,48
