iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,0.0212594,2.7291667,3.375,2.1875,2.625,48
2,0.0234869,2.9583333,2.7058823,3.0666666,3.125,48
3,0.0280288,2.6041667,2.3125,1.882353,3.7333333,48
4,0.0269627,2.8125,2.8125,2.7368422,2.9230769,48
5,0.0262535,3.125,3,3.3888888,2.9375,48
6,0.0272684,2.6875,2.625,2.3333333,3.2142856,48
7,0.030613,2.625,2.65,3.2142856,2,48
8,0.0332383,2.3333333,2.25,2.4,2.3846154,48
9,0.0328109,2.75,2.3809524,3.235294,2.7,48
10,0.0298942,2.3333333,2.2105262,2.3125,2.5384614,48
11,0.0320208,2.5833333,1.9130435,2.75,4,48
12,0.0308021,2.5625,2.25,2.4,3.25,48
13,0.0369978,2.8333333,2.047619,2.642857,4.3076925,48
14,0.0364128,3.0416667,3.875,2.7368422,2.4615386,48
15,0.0408357,3,3,2.5882354,3.5,48
16,0.0278392,2.625,2.3333333,2,3.8461537,48
17,0.0276908,3.0416667,2.9444444,2.5294118,3.8461537,48
18,0.0402125,2.6666667,2.25,3.5882354,2.0666666,48
19,0.100495905,2.9583333,2.7058823,3.0625,3.1333334,48
20,0.037443,2.9375,2.6666667,2.5263157,4.090909,48
21,0.0377497,2.6666667,2,2.5,3.7692308,48
22,0.0324482,2.6666667,2.7692308,2,4.2,48
23,0.0273766,3,2.0555556,3,4.214286,48
24,0.0318704,3.0208333,2.9411764,3,3.142857,48
25,0.0296071,2.6458333,2.1764705,2.5,3.4615386,48
26,0.0295539,2.4166667,2.4117646,1.3157895,4.1666665,48
27,0.0319833,2.75,2.3157895,2.6470587,3.5833333,48
28,0.0306,2.5416667,2.1764705,1.9333333,3.5,48
29,0.0318652,3.1666667,3,2.85,3.9166667,48
30,0.046049,2.5833333,2.3333333,2.15,3.5384614,48
31,0.0302207,2.5208333,2.5555556,2.5294118,2.4615386,48
32,0.0301519,2.5833333,2.5882354,2.05,3.5454545,48
33,0.0273233,2.7708333,2.6111112,2.6470587,3.1538463,48
34,0.0297791,3.125,3.8666666,2.5263157,3.142857,48
35,0.0288618,2.7291667,2,2.5555556,3.6666667,48
36,0.0305188,2.3958333,2.5882354,2.2105262,2.4166667,48
37,0.0340771,2.9166667,3.4705882,2.3125,2.9333334,48
38,0.0307187,2.8333333,2.75,2.8421052,2.9230769,48
39,0.0280507,2.9166667,2.6842105,3.2222223,2.8181818,48
40,0.0304737,2.9166667,3.1764705,2.8235295,2.7142856,48
41,0.0263184,2.6875,3.3333333,2.2777777,2.5333333,48
42,0.0283009,3.0416667,2.4285715,3.1904762,3.4615386,48
43,0.03134,3.3541667,3.0555556,3.625,3.4285715,48
44,0.0272223,2.8958333,2.6666667,2.75,3.357143,48
45,0.0299631,3.2291667,4.076923,3,2.7692308,48
46,0.0317571,2.625,2.375,2.35,3.4166667,48
47,0.0335722,3.3958333,3.6875,3,3.5,48
48,0.0313388,3.125,3.1538463,3.3913043,2.5833333,48
49,0.0298531,2.8541667,2.0526316,3.1176472,3.75,48
50,0.0599594,3.0625,2.090909,4.1875,3.4,48
