iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow
70,0.0068734,5.3913045,4.9,5,6.428571,23,0.5,0.4,9,9,9,1.24
71,0.006638,5.652174,4.75,4.571429,7.5,23,0.5,0.4,9,9,9,1.3000001
72,0.0065202,4.5833335,5,5,3.5714285,24,0.5,0.4,9,9,9,1.1
73,0.006889,5.5833335,4.375,5.909091,6.8,24,0.5,0.4,9,9,9,1.34
74,0.0063829,5.4166665,4.9,4.625,7.3333335,24,0.5,0.4,9,9,9,1.3
75,0.006711,5.2083335,5.2222223,5.3333335,5,24,0.5,0.4,9,9,9,1.25
76,0.0065591,4.12,3.7,4.3,4.6,25,0.5,0.4,9,9,9,1.03
77,0.0072884,5.8,5.5,5.1666665,7.8,25,0.5,0.4,9,9,9,1.45
78,0.0075153,4.84,5.625,3.3636363,6.5,25,0.5,0.4,9,9,9,1.21
79,0.0070199,4.576923,3.2727273,4.875,6.285714,26,0.5,0.4,9,9,9,1.1899999
80,0.0076502,4.423077,3.8,3.875,5.75,26,0.5,0.4,9,9,9,1.15
81,0.0069945,5.1538463,5.4545455,5,4.888889,26,0.5,0.4,9,9,9,1.34
82,0.0072254,3.6666667,5,3.3,1.2,27,0.5,0.4,9,9,9,0.99000007
83,0.0081108,4.4074073,2.4166667,4.7777777,7.8333335,27,0.5,0.4,9,9,9,1.19
84,0.0076076,3.2962964,2.75,3.625,3.857143,27,0.5,0.4,9,9,9,0.89000005
85,0.0075855,4.4814816,3.5,5.3333335,4.75,27,0.5,0.4,9,9,9,1.21
86,0.0076471,3.892857,3.7,3,4.8,28,0.5,0.4,9,9,9,1.09
87,0.0082,4.892857,4.3333335,4.818182,5.625,28,0.5,0.4,9,9,9,1.37
88,0.0079376,3.9642856,4.2222223,3.0769231,5.5,28,0.5,0.4,9,9,9,1.11
89,0.0073869,4.4827585,4,5.2222223,4.5,29,0.5,0.4,9,9,9,1.3
90,0.008212,3.6551723,3,3.6363637,4.3333335,29,0.5,0.4,9,9,9,1.06
91,0.0085506,3.8965516,4.181818,2.8181818,5.142857,29,0.5,0.4,9,9,9,1.1299999
92,0.0083999,4.3333335,3.5454545,4.2727275,5.5,30,0.5,0.4,9,9,9,1.3000001
93,0.0092549,4.1,5.125,2.857143,5.25,30,0.5,0.4,9,9,9,1.23
94,0.0084801,3.3,4.111111,2.75,3.2222223,30,0.5,0.4,9,9,9,0.99
