iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.0026741,0.03,9,9,9,9,0.5,0.4,9,9,9,0.26999998,3
2,0.002122,0.03,9,9,9,9,0.5,0.4,9,9,9,0.26999998,3
3,0.002731,0.03,8.666667,9,NaN,8.5,0.5,0.4,9,9,9,0.26,3
4,0.0021256,0.03,8.666667,NaN,8,9,0.5,0.4,9,9,9,0.26,3
5,0.0020819,0.03,9,9,NaN,9,0.5,0.4,9,9,9,0.26999998,3
6,0.0023512,0.03,8.666667,NaN,NaN,8.666667,0.5,0.4,9,9,9,0.26,3
7,0.0025898,0.03,8.666667,9,8,NaN,0.5,0.4,9,9,9,0.26,3
8,0.0026673,0.04,9,9,9,NaN,0.5,0.4,9,9,9,0.35999998,4
9,0.0033895,0.04,8.5,9,8.5,8,0.5,0.4,9,9,9,0.34,4
10,0.0026407,0.04,8.25,8,8.5,8,0.5,0.4,9,9,9,0.32999998,4
11,0.0035249,0.04,8.75,8.5,9,NaN,0.5,0.4,9,9,9,0.35,4
12,0.0044972,0.04,8.75,9,8.5,NaN,0.5,0.4,9,9,9,0.35,4
13,0.002222,0.04,8.5,NaN,8.333333,9,0.5,0.4,9,9,9,0.34,4
14,0.0026923,0.04,8.5,8,9,9,0.5,0.4,9,9,9,0.34,4
15,0.0030832,0.05,8.2,8.333333,8,8,0.5,0.4,9,9,9,0.41,5
16,0.00293,0.05,8.6,8.333333,9,9,0.5,0.4,9,9,9,0.43000004,5
17,0.0035271,0.05,8.8,9,9,8,0.5,0.4,9,9,9,0.44000003,5
18,0.0024792,0.05,8.6,8.5,8.666667,NaN,0.5,0.4,9,9,9,0.43000004,5
19,0.0031115,0.05,8.2,9,8,8,0.5,0.4,9,9,9,0.41,5
20,0.0024509,0.05,8.4,NaN,8,8.5,0.5,0.4,9,9,9,0.42,5
21,0.0026408,0.05,8.8,9,8,9,0.5,0.4,9,9,9,0.44000003,5
22,0.0022351,0.06,8.5,9,8.333333,8.5,0.5,0.4,9,9,9,0.51,6
23,0.0029257,0.06,8.666667,9,9,8,0.5,0.4,9,9,9,0.52,6
24,0.0032385,0.06,8.333333,NaN,8,8.5,0.5,0.4,9,9,9,0.49999997,6
25,0.0026067,0.06,8.5,8.5,9,8,0.5,0.4,9,9,9,0.51,6
26,0.0029385,0.06,8.5,8.5,8.333333,9,0.5,0.4,9,9,9,0.51,6
27,0.0023136,0.06,8.333333,8.5,8,8.333333,0.5,0.4,9,9,9,0.49999997,6
28,0.0031643,0.06,8.5,9,NaN,8.4,0.5,0.4,9,9,9,0.51,6
29,0.002274,0.07,8.142858,9,8,8,0.5,0.4,9,9,9,0.57000005,7
30,0.003774,0.07,8.571428,8.333333,9,8.5,0.5,0.4,9,9,9,0.59999996,7
31,0.002759,0.07,8.428572,8.25,8.5,9,0.5,0.4,9,9,9,0.59000003,7
32,0.0026746,0.07,8.142858,8,8.333333,8,0.5,0.4,9,9,9,0.57000005,7
33,0.0030334,0.07,8.857142,9,8.5,9,0.5,0.4,9,9,9,0.61999995,7
34,0.0026147,0.07,8.285714,8.6,7.5,NaN,0.5,0.4,9,9,9,0.58,7
35,0.0031953,0.07,8.857142,8.5,9,9,0.5,0.4,9,9,9,0.61999995,7
36,0.0023554,0.08,8.25,8.2,8,8.5,0.5,0.4,9,9,9,0.65999997,8
37,0.0030595,0.08,8.625,8.75,8.666667,8,0.5,0.4,9,9,9,0.69,8
38,0.002472,0.08,8.5,8.666667,8.333333,8.5,0.5,0.4,9,9,9,0.68,8
39,0.0030808,0.08,8.625,8,9,8.6,0.5,0.4,9,9,9,0.69,8
40,0.0025492,0.08,8.5,8.5,8.75,8,0.5,0.4,9,9,9,0.68,8
41,0.0028319,0.08,8.875,8.666667,9,9,0.5,0.4,9,9,9,0.71,8
42,0.0034509,0.09,8.555555,8.5,8.5,9,0.5,0.4,9,9,9,0.77000004,9
43,0.0028186,0.09,8.555555,8.25,8.75,9,0.5,0.4,9,9,9,0.77000004,9
44,0.0042437,0.09,8.777778,9,8.666667,9,0.5,0.4,9,9,9,0.79,9
45,0.0035923,0.09,8.666667,8.5,9,8.333333,0.5,0.4,9,9,9,0.78000003,9
46,0.003861,0.09,8.333333,8.333333,8,8.666667,0.5,0.4,9,9,9,0.75,9
47,0.0030218,0.09,8.222222,8.5,7.8,9,0.5,0.4,9,9,9,0.74,9
48,0.0045756,0.09,8.666667,9,8.5,9,0.5,0.4,9,9,9,0.78000003,9
49,0.0044473,0.1,8.6,8.8,8.5,8,0.5,0.4,9,9,9,0.8600001,10
50,0.0041175,0.1,8.6,8.333333,NaN,8.714286,0.5,0.4,9,9,9,0.8600001,10
51,0.0029179,0.1,8.7,8.75,8.5,8.75,0.5,0.4,9,9,9,0.87,10
52,0.0037777,0.1,8.8,9,8.8,8.666667,0.5,0.4,9,9,9,0.88000005,10
53,0.0038765,0.1,8.5,8.25,8.5,9,0.5,0.4,9,9,9,0.85,10
54,0.0036365,0.1,8.6,9,8.6,8,0.5,0.4,9,9,9,0.8600001,10
55,0.0035938,0.1,8.4,8.333333,8.25,8.666667,0.5,0.4,9,9,9,0.84,10
56,0.0042995,0.11,8.363636,8.2,8.666667,8.333333,0.5,0.4,9,9,9,0.91999996,11
57,0.0044112,0.11,8.454545,8.75,8,8.666667,0.5,0.4,9,9,9,0.92999995,11
58,0.0031908,0.11,8.636364,8.75,8.75,8.333333,0.5,0.4,9,9,9,0.95000005,11
59,0.0035638,0.11,8.545455,9,8,8.75,0.5,0.4,9,9,9,0.94000006,11
60,0.0040009,0.11,8.727273,8.6,9,8.8,0.5,0.4,9,9,9,0.96000004,11
61,0.0044958,0.11,8.727273,8.666667,9,8.6,0.5,0.4,9,9,9,0.96000004,11
62,0.0041984,0.11,8.454545,8.25,8.4,9,0.5,0.4,9,9,9,0.92999995,11
63,0.0039407,0.12,8.5,8.25,8.6,8.666667,0.5,0.4,9,9,9,1.02,12
64,0.0041198,0.12,8.583333,8.5,8.4,9,0.5,0.4,9,9,9,1.03,12
65,0.0044697,0.12,4.9166665,3.5555556,NaN,9,0.5,0.4,9,9,9,0.59,12
66,0.0044907,0.12,8.666667,9,8.2,9,0.5,0.4,9,9,9,1.04,12
67,0.0040998,0.12,8.75,9,9,8.571428,0.5,0.4,9,9,9,1.05,12
68,0.0034854,0.12,8.666667,9,8.666667,8.6,0.5,0.4,9,9,9,1.04,12
69,0.004284,0.12,8.5,8.8,8,8.333333,0.5,0.4,9,9,9,1.02,12
70,0.0050581,0.13,8.538462,8.75,8.6,8.25,0.5,0.4,9,9,9,1.11,13
71,0.00412,0.13,8.615385,8.8,8.5,8.5,0.5,0.4,9,9,9,1.12,13
72,0.0030112,0.13,6.923077,5.75,8.5,9,0.5,0.4,9,9,9,0.9,13
73,0.003486,0.13,8.615385,8.571428,8.666667,8.666667,0.5,0.4,9,9,9,1.12,13
74,0.0045636,0.13,8.615385,8.75,8.4,8.75,0.5,0.4,9,9,9,1.12,13
75,0.0050568,0.13,8.384615,9,8.333333,8.2,0.5,0.4,9,9,9,1.0899999,13
