iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,0.0008187,0.041666668,0.0625,0.0625,0,48
2,0.0021306,0.125,0.1875,0.125,0.0625,48
3,0.0032249,0.20833333,0.25,0.25,0.125,48
4,0.0040952,0.33333334,0.4375,0.375,0.1875,48
5,0.0048937,0.45833334,0.5625,0.4375,0.375,48
6,0.0057015,0.6666667,0.75,0.625,0.625,48
7,0.0067675,0.9583333,1,1,0.8666667,48
8,0.0079618,1.1666666,1.3333334,1,1.1333333,48
9,0.0089365,1.4166666,1.2941177,1.5882353,1.3571428,48
10,0.0098715,1.6458334,1.6470588,1.6470588,1.6428572,48
11,0.0107177,1.8125,1.9411764,1.6470588,1.8571428,48
12,0.0136126,2.0416667,2.1666667,1.875,2.0714285,48
13,0.0154638,2.2708333,2.3333333,2.2,2.2666667,48
14,0.0167038,2.5,2.5789473,2.5,2.4,48
15,0.0177004,2.75,2.9375,2.764706,2.5333333,48
16,0.0184435,2.625,2.764706,2.375,2.7333333,48
17,0.0192865,2.4583333,2.4117646,2.0625,2.9333334,48
18,0.0200599,2.5208333,2.235294,2.0625,3.3333333,48
19,0.0208661,2.3958333,2.1111112,2,3.0625,48
20,0.0217981,2.2291667,1.6842105,2.4285715,2.7333333,48
21,0.0227012,2.3541667,2,2.3529413,2.7857144,48
22,0.0236756,2.5416667,2.1666667,2.3125,3.2857144,48
23,0.0249187,2.5208333,2.1176472,2.4444444,3.1538463,48
24,0.0257063,2.7708333,2.3157895,2.125,4.230769,48
25,0.0267255,2.75,2.0526316,2.764706,3.8333333,48
26,0.0278648,2.7083333,2,2.5,4.0833335,48
27,0.0288793,2.7291667,2.368421,2.3333333,3.642857,48
28,0.0296852,2.5625,1.7058823,3,3.0714285,48
29,0.0303606,2.375,1.4117647,2.7058823,3.142857,48
30,0.031154,2.2291667,1.5333333,2.4,2.7692308,48
31,0.0318928,2.3333333,1.7333333,2.4736843,2.7857144,48
32,0.0326979,2.375,2,2.631579,2.4,48
33,0.0335807,2.5416667,3,1.882353,2.7857144,48
34,0.0343591,2.7083333,3.0625,2.2105262,3,48
35,0.0351144,2.5833333,2.5333333,2.5,2.7692308,48
36,0.0361908,2.5208333,3,2.2222223,2.4,48
37,0.0371266,2.7708333,2.875,2.6111112,2.857143,48
38,0.037933,3,2.75,2.95,3.4166667,48
39,0.0390074,2.9375,2.2857144,3.0714285,3.8461537,48
40,0.0399817,2.8541667,2.15,3.1333334,3.6153846,48
41,0.0407846,2.9375,2.2727273,3.6666667,3.357143,48
42,0.0417276,3.1041667,2,4.0588236,3.3846154,48
43,0.0428758,3.0416667,2.5263157,3.235294,3.5833333,48
44,0.0440048,3.1041667,2.3157895,3.8,3.4285715,48
