iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.00049547,0.03,4.1333337,NaN,NaN,NaN,0.4,0.4,5,5,5,0.024799999,3
2,0.00068947,0.06,4.016667,4.1916666,3.8,4.116667,0.4,0.4,5,5,5,0.048199993,6
3,0.0009301,0.09,4.188889,4.175,4.166667,4.1916666,0.4,0.4,5,5,5,0.07540001,9
4,0.00108533,0.12,4.1083336,4.201667,4.165,3.985,0.4,0.4,5,5,5,0.09860001,12
5,0.0010633,0.14,4.107143,4.054286,4.1257143,4.2216663,0.4,0.4,5,5,5,0.114999995,14
6,0.00115368,0.17,4.111765,4.1258335,3.985714,4.2216663,0.4,0.4,5,5,5,0.1398,17
7,0.00131882,0.2,4.1050005,4.1312304,4.0805955,4.0914288,0.4,0.4,5,5,5,0.1642,20
8,0.00155182,0.23,3.9608696,4.003175,3.8011112,4.115714,0.4,0.4,5,5,5,0.18219998,23
9,0.0017023,0.26,3.6653848,3.5492458,3.4950795,3.930397,0.4,0.4,5,5,5,0.19060001,26
10,0.00192002,0.29,3.6000004,3.7638383,3.3774357,3.710516,0.4,0.4,5,5,5,0.2088,29
11,0.00215469,0.32,3.1375,2.9857652,3.066853,3.4643416,0.4,0.4,5,5,5,0.20080002,32
12,0.00243375,0.35,2.9057143,2.9700813,2.6713843,3.1775115,0.4,0.4,5,5,5,0.20339999,35
13,0.00268517,0.38,2.9578948,2.82876,3.1301832,2.9796152,0.4,0.4,5,5,5,0.22479999,38
14,0.00292447,0.41,2.4829268,2.4632897,2.2742581,2.762529,0.4,0.4,5,5,5,0.2036,41
15,0.00321117,0.44,2.3159091,2.4438782,1.997661,2.7224603,0.4,0.4,5,5,5,0.20380001,44
16,0.00371489,0.48,2.1854167,2.1726224,2.0382984,2.4217315,0.4,0.4,5,5,5,0.2098,48
17,0.00415432,0.51,2.1745098,1.9804503,2.0993173,2.5224073,0.4,0.4,5,5,5,0.2218,51
18,0.00487677,0.54,2.0166667,1.8500696,1.7223027,2.6059718,0.4,0.4,5,5,5,0.21779999,54
19,0.00538723,0.57,1.863158,1.7655369,1.7907355,2.118024,0.4,0.4,5,5,5,0.21239999,57
20,0.00606319,0.6,1.8433335,1.6736822,1.765152,2.216618,0.4,0.4,5,5,5,0.22120002,60
21,0.0066067,0.63,1.7238096,1.5298717,1.6115673,2.1501925,0.4,0.4,5,5,5,0.2172,63
22,0.007180749,0.66,1.540909,1.4157295,1.4926388,1.7979645,0.4,0.4,5,5,5,0.20340002,66
23,0.00762335,0.69,1.5144928,1.3786285,1.3715774,1.9216045,0.4,0.4,5,5,5,0.20899999,69
24,0.00819142,0.72,1.3222221,1.3764137,1.2728384,1.3791506,0.4,0.4,5,5,5,0.1904,72
25,0.00863236,0.75,1.3813334,1.2910476,1.2453024,1.700367,0.4,0.4,5,5,5,0.2072,75
26,0.00943067,0.78,1.3897436,1.3076172,1.3394015,1.5399559,0.4,0.4,5,5,5,0.2168,78
27,0.009975011,0.81,1.2,1.1178056,1.166414,1.3771226,0.4,0.4,5,5,5,0.1944,81
28,0.01062589,0.84,1.1821429,1.1053442,1.0751998,1.413709,0.4,0.4,5,5,5,0.1986,84
29,0.011533909,0.87,1.1287355,1.0312967,1.1378553,1.2990379,0.4,0.4,5,5,5,0.1964,87
30,0.012097419,0.89,1.0977528,0.93462163,1.0803769,1.3551687,0.4,0.4,5,5,5,0.1954,89
31,0.01250757,0.92,1.0673913,0.9550834,1.0489876,1.2662823,0.4,0.4,5,5,5,0.1964,92
32,0.01333314,0.95,1.031579,1.0661341,0.90216464,1.2170613,0.4,0.4,5,5,5,0.19599998,95
33,0.014667489,0.98,0.9969388,0.91275233,0.92976236,1.2107251,0.4,0.4,5,5,5,0.1954,98
34,0.01547869,1.01,0.99009895,0.8746716,0.99467075,1.1393976,0.4,0.4,5,5,5,0.2,101
35,0.01592937,1.04,0.9067308,0.87047136,0.84796506,1.0444012,0.4,0.4,5,5,5,0.1886,104
36,0.0163063,1.07,0.8420561,0.74937975,0.90297663,0.9176508,0.4,0.4,5,5,5,0.18020001,107
37,0.01720566,1.1,0.8536364,0.72058165,0.8451031,1.0467098,0.4,0.4,5,5,5,0.18780002,110
38,0.01807836,1.13,0.79734516,0.75178,0.6811992,1.0093006,0.4,0.4,5,5,5,0.18019998,113
39,0.019432412,1.16,0.8224138,0.7388126,0.7815317,0.99140006,0.4,0.4,5,5,5,0.1908,116
40,0.02017973,1.19,0.7184874,0.6465561,0.7441388,0.7804887,0.4,0.4,5,5,5,0.171,119
41,0.021079842,1.22,0.6934427,0.6591909,0.5745262,0.9013216,0.4,0.4,5,5,5,0.1692,122
42,0.0224138,1.25,0.6976,0.62992644,0.67077106,0.82016027,0.4,0.4,5,5,5,0.1744,125
43,0.023752218,1.28,0.6859375,0.58487326,0.59895563,0.9497061,0.4,0.4,5,5,5,0.17559999,128
44,0.02401616,1.31,0.6076336,0.48488253,0.6019682,0.7759303,0.4,0.4,5,5,5,0.1592,131
45,0.02519342,1.34,0.5828358,0.49720106,0.5373086,0.7753999,0.4,0.4,5,5,5,0.1562,134
46,0.026189929,1.37,0.6029197,0.5737727,0.49366483,0.78871286,0.4,0.4,5,5,5,0.1652,137
47,0.02740052,1.4,0.57928574,0.551443,0.52510226,0.6989833,0.4,0.4,5,5,5,0.1622,140
48,0.028234472,1.43,0.55314684,0.5025637,0.5215789,0.670061,0.4,0.4,5,5,5,0.1582,143
49,0.029736731,1.46,0.5760274,0.51503825,0.55751014,0.68885076,0.4,0.4,5,5,5,0.16819999,146
