iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,0.18277991,9,9,9,9,3
2,0.2417631,8.833333,9,9,8.5,6
3,0.3019217,8.888889,9,8.75,9,9
4,0.3582694,8.75,8.5,8.75,9,12
5,0.43529192,8.666667,9,8.5,8.5,15
6,0.5194556,8.666667,8.666667,8.5,8.833333,18
7,0.6156684,6.5238094,6.75,5,8.6,21
8,0.7083038,5.2916665,5.625,4.909091,5.6,24
9,0.81601226,4.7777777,3.8181818,4.75,6.125,27
10,0.9385905,4.3,3.9,4.1,4.9,30
11,1.1343994,4.3939395,2.5,6,5.5555553,33
12,1.2983308,4,4.285714,3.909091,3.7272727,36
13,1.4823757,3.0769231,2.25,3.6153846,3.7,39
14,1.701566,2.8095238,2,2.9375,3.9,42
15,2.031403,2.9555554,2.3333333,2.5,4.6363635,45
16,2.1045165,2.7291667,1.8947369,3.4,3.142857,48
17,2.4265642,2.6862745,2.631579,2.764706,2.6666667,51
18,2.6046417,2.4444444,2.5555556,1.9047619,3.0666666,54
19,3.0097518,2.368421,1.8695652,2.5,2.9375,57
20,3.273779,2.0166667,2.4285715,2.0952382,1.4444444,60
21,3.4973364,2.2698412,1.7916666,2.56,2.5714285,63
22,3.917398,1.7727273,2.2272727,1.2,2.2857144,66
23,4.616983,1.826087,1.5357143,1.5909091,2.5263157,69
24,4.7081246,1.9166666,1.9615384,2.0434783,1.7391304,72
25,5.0438004,1.52,1.4814814,1.1481482,2.047619,75
26,5.3129086,1.7179487,1.3928572,1.5555556,2.7857144,78
27,5.6589284,1.7160494,1.4444444,1.7142857,2.1052632,81
28,6.0400805,1.6547619,1.3548387,1.962963,1.6923077,84
29,6.522523,1.5862069,1.8846154,1.1666666,1.88,87
30,6.8676972,1.4777777,1.4,1.5172414,1.516129,90
31,7.2642326,1.3763441,1.2352941,1.3513514,1.6363636,93
32,7.762737,1.1145834,1.0588236,0.875,1.4333333,96
33,8.353143,1.2020202,1.0256411,1.1212121,1.5555556,99
34,8.73509,1.3137255,1.3,1.2631578,1.4166666,102
35,9.454113,1.1714286,1.025,1.451613,1.0882353,105
36,10.284012,1.1388888,1.1764706,0.90697676,1.4193548,108
37,10.799415,1.1711712,1.1282052,1.0256411,1.3939394,111
38,11.603309,0.94736844,0.7209302,1.0789474,1.0909091,114
39,12.193672,0.96581197,0.8333333,1.0930233,0.96875,117
40,13.096071,1.025,0.88095236,0.975,1.2368422,120
41,13.649393,1.0162601,0.9302326,0.8181818,1.3611112,123
42,13.387726,0.8333333,0.95348835,0.85714287,0.68292683,126
43,13.9633665,0.9612403,0.7291667,1.0425532,1.1764706,129
44,14.931534,0.82575756,0.6415094,0.7346939,1.3,132
45,15.708666,0.8074074,0.63265306,1,0.8181818,135
46,16.144125,0.73188406,0.7380952,0.48076922,1.0227273,138
47,16.777695,0.6879433,0.5283019,0.6666667,0.925,141
48,17.550322,0.6666667,0.6938776,0.6415094,0.6666667,144
49,18.258327,0.7755102,0.7735849,0.9782609,0.5833333,147
