iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,1.7941542,5.25,5.25,5.25,5.25,48
2,2.347629,4.5208335,4.111111,4.117647,5.6153846,48
3,2.3588278,3.8541667,4,3.6470587,3.909091,48
4,2.3618038,4.25,3.55,4.1875,5.5,48
5,2.4941845,4.0833335,5,3.1666667,4.214286,48
6,2.9269376,3.4791667,3.1666667,3.25,3.9444444,48
7,2.5955338,2.7916667,2.8823528,1.8947369,4.0833335,48
8,5.6859694,3.0833333,2.7222223,3.142857,3.4375,48
9,6.1413846,3.5208333,4.2777777,2.125,4.142857,48
10,5.587389,3.125,2.368421,2.9285715,4.266667,48
11,5.961656,2.7291667,2.65,2.4666667,3.1538463,48
