iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow
1,0.0019228,9,9,NaN,NaN,1,0.5,0.4,9,9,9,0.089999996
2,0.0018545,9,9,NaN,NaN,1,0.5,0.4,9,9,9,0.089999996
3,0.0016331,8,8,NaN,NaN,1,0.5,0.4,9,9,9,0.08
4,0.0017188,8,8,NaN,NaN,1,0.5,0.4,9,9,9,0.08
5,0.0020599,9,9,NaN,NaN,1,0.5,0.4,9,9,9,0.089999996
6,0.0018442,8,8,NaN,NaN,1,0.5,0.4,9,9,9,0.08
7,0.001817,8,8,NaN,NaN,1,0.5,0.4,9,9,9,0.08
8,0.0018664,9,9,NaN,NaN,1,0.5,0.4,9,9,9,0.089999996
9,0.0016383,9,9,NaN,NaN,1,0.5,0.4,9,9,9,0.089999996
10,0.0021498,9,9,NaN,NaN,1,0.5,0.4,9,9,9,0.089999996
11,0.0017873,9,9,NaN,NaN,1,0.5,0.4,9,9,9,0.089999996
12,0.017978,9,9,9,NaN,2,0.5,0.4,9,9,9,0.17999999
13,0.0182521,9,9,9,NaN,2,0.5,0.4,9,9,9,0.17999999
14,0.0184615,8.5,9,8,NaN,2,0.5,0.4,9,9,9,0.17
15,0.0189893,8.5,9,8,NaN,2,0.5,0.4,9,9,9,0.17
16,0.0183093,8,8,8,NaN,2,0.5,0.4,9,9,9,0.16
17,0.0180135,9,9,9,NaN,2,0.5,0.4,9,9,9,0.17999999
18,0.0182848,8.5,9,8,NaN,2,0.5,0.4,9,9,9,0.17
19,0.018762,8.5,8,9,NaN,2,0.5,0.4,9,9,9,0.17
20,0.0175705,8,8,8,NaN,2,0.5,0.4,9,9,9,0.16
21,0.0165579,9,9,9,NaN,2,0.5,0.4,9,9,9,0.17999999
22,0.0178487,9,9,9,9,3,0.5,0.4,9,9,9,0.26999998
23,0.0190348,8.333333,8,9,8,3,0.5,0.4,9,9,9,0.24999999
24,0.0206813,8,8,8,8,3,0.5,0.4,9,9,9,0.24
25,0.0192237,9,9,9,9,3,0.5,0.4,9,9,9,0.26999998
26,0.0191294,8.333333,8,8,9,3,0.5,0.4,9,9,9,0.24999999
27,0.0191935,8.666667,9,8,9,3,0.5,0.4,9,9,9,0.26
28,0.0195547,8.666667,8,9,9,3,0.5,0.4,9,9,9,0.26
29,0.0194932,8.333333,8,8,9,3,0.5,0.4,9,9,9,0.24999999
30,0.0212642,9,9,9,9,3,0.5,0.4,9,9,9,0.26999998
31,0.0199779,8.666667,9,8,9,3,0.5,0.4,9,9,9,0.26
32,0.0220221,8,8,8,8,4,0.5,0.4,9,9,9,0.32
33,0.0227295,8.75,8,9,9,4,0.5,0.4,9,9,9,0.35
34,0.0223487,8.5,9,9,8,4,0.5,0.4,9,9,9,0.34
35,0.0229475,8.75,8.5,9,9,4,0.5,0.4,9,9,9,0.35
36,0.0196716,8.75,9,9,8,4,0.5,0.4,9,9,9,0.35
37,0.0196234,8.75,9,9,8,4,0.5,0.4,9,9,9,0.35
38,0.0214328,8.25,8,8.5,8,4,0.5,0.4,9,9,9,0.32999998
39,0.0195434,8.75,9,8,9,4,0.5,0.4,9,9,9,0.35
40,0.019966,8.25,8,9,8,4,0.5,0.4,9,9,9,0.32999998
41,0.0209314,8.25,8,8.5,8,4,0.5,0.4,9,9,9,0.32999998
42,0.0241932,8.6,8,8.5,9,5,0.5,0.4,9,9,9,0.43000004
43,0.0246102,8.6,8.5,9,8.5,5,0.5,0.4,9,9,9,0.43000004
44,0.0253876,8.4,8.5,8,9,5,0.5,0.4,9,9,9,0.42
45,0.0240339,8.6,9,8,9,5,0.5,0.4,9,9,9,0.43000004
46,0.0243741,8.8,9,8.5,9,5,0.5,0.4,9,9,9,0.44000003
47,0.0245045,8.2,8.5,8,8,5,0.5,0.4,9,9,9,0.41
48,0.0256299,8.6,8.5,8.5,9,5,0.5,0.4,9,9,9,0.43000004
49,0.0234255,9,9,9,9,5,0.5,0.4,9,9,9,0.45000002
50,0.0245241,8.4,9,8.5,8,5,0.5,0.4,9,9,9,0.42
51,0.024348,8.4,8,9,9,5,0.5,0.4,9,9,9,0.42
52,0.0215386,8.666667,9,8.5,8.5,6,0.5,0.4,9,9,9,0.52
53,0.022916,8.5,9,8,8.5,6,0.5,0.4,9,9,9,0.51
54,0.0250542,8.166667,8.5,8,8,6,0.5,0.4,9,9,9,0.49
55,0.0229011,8.333333,8,9,8,6,0.5,0.4,9,9,9,0.49999997
56,0.02527,8.5,8.666667,8,9,6,0.5,0.4,9,9,9,0.51
57,0.027101,8.5,8.5,8.5,8.5,6,0.5,0.4,9,9,9,0.51
58,0.0319114,8.833333,9,9,8,6,0.5,0.4,9,9,9,0.53
59,0.0306716,8.5,8,9,8.5,6,0.5,0.4,9,9,9,0.51
60,0.0291646,9,9,9,9,6,0.5,0.4,9,9,9,0.53999996
61,0.0253896,8.333333,8.5,8.5,8,6,0.5,0.4,9,9,9,0.49999997
62,0.0289406,8.857142,9,9,8.5,7,0.5,0.4,9,9,9,0.61999995
63,0.0290929,8.571428,8.5,8.333333,9,7,0.5,0.4,9,9,9,0.59999996
64,0.0263551,8.714286,9,8.5,8.666667,7,0.5,0.4,9,9,9,0.61
65,0.0278185,8.857142,8.666667,9,9,7,0.5,0.4,9,9,9,0.61999995
66,0.0261568,8.571428,8.666667,8,9,7,0.5,0.4,9,9,9,0.59999996
67,0.0265385,8.714286,8.666667,9,8.5,7,0.5,0.4,9,9,9,0.61
68,0.0256478,8.714286,9,8.5,8.5,7,0.5,0.4,9,9,9,0.61
69,0.026493,8.428572,8.5,8.666667,8,7,0.5,0.4,9,9,9,0.59000003
70,0.0258117,8.714286,8.666667,8.666667,9,7,0.5,0.4,9,9,9,0.61
71,0.0255836,8.714286,9,8.5,8.5,7,0.5,0.4,9,9,9,0.61
72,0.0278928,8.625,8.666667,8.75,8,8,0.5,0.4,9,9,9,0.69
73,0.0261903,8.625,8.666667,8.666667,8.5,8,0.5,0.4,9,9,9,0.69
74,0.0279389,8.375,8.333333,8.5,8.333333,8,0.5,0.4,9,9,9,0.66999996
75,0.0250141,8.5,8.5,8.666667,8.333333,8,0.5,0.4,9,9,9,0.68
76,0.0269936,8.625,8.666667,8.666667,8.5,8,0.5,0.4,9,9,9,0.69
77,0.0313813,8.75,8.666667,9,8.666667,8,0.5,0.4,9,9,9,0.7
78,0.0278839,8.5,8.666667,8,9,8,0.5,0.4,9,9,9,0.68
79,0.0361231,8.5,8.666667,8.333333,8.5,8,0.5,0.4,9,9,9,0.68
80,0.0321451,8.625,8.666667,8.5,8.666667,8,0.5,0.4,9,9,9,0.69
81,0.0259783,8.625,8.666667,8.5,9,8,0.5,0.4,9,9,9,0.69
82,0.0355753,8.444445,8,8.333333,8.75,9,0.5,0.4,9,9,9,0.76000005
83,0.033571,8.444445,8.333333,8.25,9,9,0.5,0.4,9,9,9,0.76000005
84,0.0342603,8.777778,8.75,8.5,9,9,0.5,0.4,9,9,9,0.79
85,0.0322719,8.555555,8.666667,8.25,9,9,0.5,0.4,9,9,9,0.77000004
86,0.0321066,8.333333,8.333333,9,8,9,0.5,0.4,9,9,9,0.75
87,0.029642,8.666667,8.333333,9,8.666667,9,0.5,0.4,9,9,9,0.78000003
88,0.0339173,8.777778,8.666667,8.75,9,9,0.5,0.4,9,9,9,0.79
89,0.0288408,8.333333,8.5,8.333333,8,9,0.5,0.4,9,9,9,0.75
90,0.0308418,8.777778,9,8.5,9,9,0.5,0.4,9,9,9,0.79
91,0.0313877,8.666667,8.666667,8.666667,8.666667,9,0.5,0.4,9,9,9,0.78000003
92,0.0365603,8.6,8.25,9,8.666667,10,0.5,0.4,9,9,9,0.8600001
93,0.0325389,8.7,8.6,9,8.5,10,0.5,0.4,9,9,9,0.87
94,0.0329918,8.6,8.5,9,8,10,0.5,0.4,9,9,9,0.8600001
95,0.0338073,8.7,8.666667,8.666667,8.75,10,0.5,0.4,9,9,9,0.87
96,0.0334392,8.6,8.666667,8.5,8.666667,10,0.5,0.4,9,9,9,0.8600001
97,0.0331117,8.6,8,8.75,9,10,0.5,0.4,9,9,9,0.8600001
98,0.0344415,8.7,8.666667,8.75,8.666667,10,0.5,0.4,9,9,9,0.87
99,0.0317051,8.6,8.5,9,8.333333,10,0.5,0.4,9,9,9,0.8600001
100,0.0324167,8.6,8.75,8.666667,8.333333,10,0.5,0.4,9,9,9,0.8600001
101,0.0314791,8.8,8.666667,8.8,9,10,0.5,0.4,9,9,9,0.88000005
102,0.0334688,8.4,8.4,8,9,10,0.5,0.4,9,9,9,0.84
103,0.0348931,8.636364,8.666667,8.75,8.5,11,0.5,0.4,9,9,9,0.95000005
104,0.0371982,8.454545,8.5,8.333333,8.5,11,0.5,0.4,9,9,9,0.92999995
105,0.0373391,8.545455,8.5,8.333333,8.75,11,0.5,0.4,9,9,9,0.94000006
106,0.0397597,8.818182,8.5,9,9,11,0.5,0.4,9,9,9,0.97
107,0.0366316,8.272727,8,8.75,8,11,0.5,0.4,9,9,9,0.90999997
108,0.0379332,8.818182,8.75,9,8.666667,11,0.5,0.4,9,9,9,0.97
109,0.0353104,8.818182,8.75,9,8.666667,11,0.5,0.4,9,9,9,0.97
110,0.0345084,8.545455,8.5,8.5,8.666667,11,0.5,0.4,9,9,9,0.94000006
111,0.0337518,8.545455,8.75,8.25,8.666667,11,0.5,0.4,9,9,9,0.94000006
112,0.03471,8.636364,8.5,9,8.333333,11,0.5,0.4,9,9,9,0.95000005
113,0.0350519,8.75,9,8.75,8.333333,12,0.5,0.4,9,9,9,1.05
114,0.0352618,8.75,8.5,8.75,9,12,0.5,0.4,9,9,9,1.05
115,0.0348652,8.5,8.5,8,8.8,12,0.5,0.4,9,9,9,1.02
116,0.0381158,8.666667,9,8.6,8.5,12,0.5,0.4,9,9,9,1.04
117,0.0363573,8.5,8.25,8.8,8.333333,12,0.5,0.4,9,9,9,1.02
118,0.0352913,7.5,7.3333335,8.833333,5,12,0.5,0.4,9,9,9,0.9
119,0.0349532,8.666667,8.8,8.666667,8.5,12,0.5,0.4,9,9,9,1.04
120,0.036855,8.666667,8.6,8.75,8.666667,12,0.5,0.4,9,9,9,1.04
121,0.033951,8.416667,8.2,8.75,8.333333,12,0.5,0.4,9,9,9,1.01
122,0.0339211,8.833333,8.8,8.75,9,12,0.5,0.4,9,9,9,1.06
123,0.0361486,8.692307,8.75,8.75,8.6,13,0.5,0.4,9,9,9,1.1299999
124,0.0350581,8.076923,7.6666665,8.75,8,13,0.5,0.4,9,9,9,1.05
125,0.0346943,8.692307,8.8,8.5,8.75,13,0.5,0.4,9,9,9,1.1299999
126,0.0343581,7.1538463,6.4,6.5,8.75,13,0.5,0.4,9,9,9,0.93
127,0.0344686,8.692307,8.666667,8.8,8.6,13,0.5,0.4,9,9,9,1.1299999
128,0.0340392,8.615385,8.4,8.6,9,13,0.5,0.4,9,9,9,1.12
129,0.0351119,8.538462,8.6,8.25,8.75,13,0.5,0.4,9,9,9,1.11
130,0.0341833,8.692307,8.6,8.75,8.75,13,0.5,0.4,9,9,9,1.1299999
131,0.0348761,8.615385,8.666667,8.5,8.75,13,0.5,0.4,9,9,9,1.12
132,0.0344576,8.538462,8.6,8.5,8.5,13,0.5,0.4,9,9,9,1.11
133,0.0360421,9,9,9,9,14,0.5,0.4,9,9,9,1.26
134,0.0364469,8.5,8.4,8.2,9,14,0.5,0.4,9,9,9,1.19
135,0.0364839,8.785714,8.8,8.8,8.75,14,0.5,0.4,9,9,9,1.23
136,0.0370656,8.571428,8.666667,8.25,8.75,14,0.5,0.4,9,9,9,1.1999999
137,0.0367764,8.571428,8.8,8.2,8.75,14,0.5,0.4,9,9,9,1.1999999
138,0.0365581,8.571428,8.4,8.8,8.5,14,0.5,0.4,9,9,9,1.1999999
139,0.0363828,8.428572,8.5,8.4,8.4,14,0.5,0.4,9,9,9,1.1800001
140,0.0366945,8.285714,8,8.8,8,14,0.5,0.4,9,9,9,1.16
141,0.0360443,8.714286,8.833333,8.5,8.75,14,0.5,0.4,9,9,9,1.22
142,0.0358565,8.428572,8.4,8.666667,8.333333,14,0.5,0.4,9,9,9,1.1800001
143,0.0423321,7.0666666,6.6666665,6.5,8,15,0.5,0.4,9,9,9,1.0600001
144,0.0427073,8.6,8.4,8.8,8.6,15,0.5,0.4,9,9,9,1.2900001
145,0.0408409,7.2,8,5.6666665,8.666667,15,0.5,0.4,9,9,9,1.08
146,0.0380081,8.8,8.75,8.833333,8.8,15,0.5,0.4,9,9,9,1.32
147,0.039302,8.533334,8.428572,8.4,9,15,0.5,0.4,9,9,9,1.2800001
148,0.0382846,7.733333,6.75,7.6666665,8.6,15,0.5,0.4,9,9,9,1.16
149,0.0376325,8.333333,8.5,8.166667,8.4,15,0.5,0.4,9,9,9,1.25
150,0.0368266,5.4666667,5,4.857143,7.6666665,15,0.5,0.4,9,9,9,0.82000005
151,0.0381518,8.466666,8.4,8.4,8.6,15,0.5,0.4,9,9,9,1.27
152,0.0384048,8.533334,8.6,8.4,8.6,15,0.5,0.4,9,9,9,1.2800001
153,0.0393166,7.5625,7.6666665,7.285714,8,16,0.5,0.4,9,9,9,1.2099999
154,0.0398861,7.8125,8.4,7,8.5,16,0.5,0.4,9,9,9,1.25
155,0.0397819,7.625,7.2,7,8.5,16,0.5,0.4,9,9,9,1.22
156,0.0418437,8.5625,8.666667,8.5,8.5,16,0.5,0.4,9,9,9,1.37
157,0.045598,6.5625,5.6666665,5.6,8.6,16,0.5,0.4,9,9,9,1.05
158,0.0406783,7.5625,7,7.25,8.6,16,0.5,0.4,9,9,9,1.2099999
159,0.0421633,8.625,8.666667,8.5,8.666667,16,0.5,0.4,9,9,9,1.38
160,0.0404573,7.625,7,7.857143,8.333333,16,0.5,0.4,9,9,9,1.22
161,0.039739,8.5625,8.2,8.666667,8.8,16,0.5,0.4,9,9,9,1.37
162,0.0392672,8.625,8.666667,8.75,8.5,16,0.5,0.4,9,9,9,1.38
163,0.0430524,5.8235292,4.428571,5.8,7.8,17,0.5,0.4,9,9,9,0.99
164,0.0439876,7.2941175,7.142857,6.8333335,8.25,17,0.5,0.4,9,9,9,1.24
165,0.0437463,7.7058825,7.428571,7.5,8.5,17,0.5,0.4,9,9,9,1.3100001
166,0.0433878,7.882353,8.142858,7.75,7.6666665,17,0.5,0.4,9,9,9,1.34
167,0.0438642,6.2941175,6,6.8,6.1666665,17,0.5,0.4,9,9,9,1.0699999
168,0.0441945,8.823529,8.833333,8.833333,8.8,17,0.5,0.4,9,9,9,1.5
169,0.0429852,8.117647,8.625,6.5,8.6,17,0.5,0.4,9,9,9,1.38
170,0.045656,5.8235292,4,7,7.6666665,17,0.5,0.4,9,9,9,0.99
171,0.0441505,5.647059,4.375,5.8,8,17,0.5,0.4,9,9,9,0.96000004
172,0.0432332,7.647059,6.4,7.8333335,8.5,17,0.5,0.4,9,9,9,1.3000001
173,0.0464828,6.7222223,5.375,8,7.6,18,0.5,0.4,9,9,9,1.21
174,0.0457236,5.6666665,6.125,4.2,6.4,18,0.5,0.4,9,9,9,1.02
175,0.0462059,8.555555,8.333333,8.714286,8.6,18,0.5,0.4,9,9,9,1.5400001
176,0.0449078,6.7777777,7,4.8333335,8.5,18,0.5,0.4,9,9,9,1.22
177,0.0456455,8.277778,8.428572,8.333333,8,18,0.5,0.4,9,9,9,1.49
178,0.0454568,6.6666665,8.333333,5.375,6.75,18,0.5,0.4,9,9,9,1.2
179,0.0453969,4.9444447,5.142857,4.2,5.3333335,18,0.5,0.4,9,9,9,0.89000005
180,0.0458129,5.7222223,4.6666665,5.142857,7.8,18,0.5,0.4,9,9,9,1.0300001
181,0.0461581,5.3333335,4,4.6666665,7.3333335,18,0.5,0.4,9,9,9,0.96000004
182,0.0468796,7.3333335,7,6.6,8.333333,18,0.5,0.4,9,9,9,1.32
183,0.0483232,5.263158,3.875,4,8.166667,19,0.5,0.4,9,9,9,1
184,0.047524,5.105263,4.857143,4.428571,6.4,19,0.5,0.4,9,9,9,0.97
185,0.0475586,6.5789475,8.2,6.285714,5.714286,19,0.5,0.4,9,9,9,1.25
186,0.0483724,5.263158,5.571429,4.6666665,5.5,19,0.5,0.4,9,9,9,1
187,0.0476291,5.736842,4.714286,5.5,8,19,0.5,0.4,9,9,9,1.09
188,0.0480372,5.0526314,4.875,4.6666665,5.8,19,0.5,0.4,9,9,9,0.96
189,0.0485937,6.1578946,5.428571,5.8,7.142857,19,0.5,0.4,9,9,9,1.17
190,0.0484427,5.5789475,4.375,6.3333335,6.6,19,0.5,0.4,9,9,9,1.0600001
191,0.0509538,6.0526314,4.3333335,6.857143,6.8333335,19,0.5,0.4,9,9,9,1.15
192,0.0542471,6.3157897,5.111111,5.75,8.5,19,0.5,0.4,9,9,9,1.2
193,0.0554898,5.3,3.6666667,6.5,6.8,20,0.5,0.4,9,9,9,1.0600001
194,0.0502377,5.3,4,6.1666665,6.6,20,0.5,0.4,9,9,9,1.0600001
195,0.0502194,5.25,3.375,6,7,20,0.5,0.4,9,9,9,1.0500001
196,0.0503409,7.35,7.125,7.285714,7.8,20,0.5,0.4,9,9,9,1.47
197,0.0493455,3.9,3.1666667,3.4285715,5,20,0.5,0.4,9,9,9,0.78000003
198,0.0502215,6.3,7.625,5.142857,5.8,20,0.5,0.4,9,9,9,1.2600001
199,0.0491694,5.95,5.75,6.142857,6,20,0.5,0.4,9,9,9,1.1899999
200,0.0495727,5.25,4.8333335,5.25,5.6666665,20,0.5,0.4,9,9,9,1.0500001
201,0.0517813,5.3,5.75,5.3333335,4.6666665,20,0.5,0.4,9,9,9,1.0600001
202,0.0490352,5.95,6.8333335,5.3333335,6,20,0.5,0.4,9,9,9,1.1899999
203,0.0492957,6.1,6.714286,4.75,7.4,20,0.5,0.4,9,9,9,1.22
204,0.050763,5.904762,5.285714,4.875,8,21,0.5,0.4,9,9,9,1.2399999
205,0.0518707,5.857143,5.714286,6.25,5.5,21,0.5,0.4,9,9,9,1.23
206,0.0515468,4.857143,4.375,5.375,4.8,21,0.5,0.4,9,9,9,1.02
207,0.0515458,4.2380953,3.5,4,6.25,21,0.5,0.4,9,9,9,0.89
208,0.0503077,5.571429,5.3333335,5.5,5.857143,21,0.5,0.4,9,9,9,1.17
209,0.051897,5.3809524,5,5.857143,5.285714,21,0.5,0.4,9,9,9,1.13
210,0.0520986,6.6666665,5.571429,7.714286,6.714286,21,0.5,0.4,9,9,9,1.4
211,0.0544897,6.142857,4.888889,6.571429,7.8,21,0.5,0.4,9,9,9,1.29
212,0.0517944,6.571429,5.375,7.5,7.142857,21,0.5,0.4,9,9,9,1.38
213,0.0510916,5.904762,5.4444447,5.6666665,6.8333335,21,0.5,0.4,9,9,9,1.2399999
214,0.0528849,4.681818,4.571429,5.5555553,3.5,22,0.5,0.4,9,9,9,1.03
215,0.0528543,6.1363635,6.285714,5.888889,6.3333335,22,0.5,0.4,9,9,9,1.3499999
216,0.0538962,5.590909,3.875,5.571429,7.571429,22,0.5,0.4,9,9,9,1.23
217,0.0531812,4.409091,3.4444444,2.6666667,7.142857,22,0.5,0.4,9,9,9,0.97
218,0.053209,5.9545455,4.571429,7.625,5.428571,22,0.5,0.4,9,9,9,1.3100001
219,0.0529832,5,6,4.909091,4.3333335,22,0.5,0.4,9,9,9,1.1
220,0.0555717,4.818182,5.25,4.6666665,4.4,22,0.5,0.4,9,9,9,1.0600001
221,0.053111,4.0454545,4,4.375,3.7142856,22,0.5,0.4,9,9,9,0.89
222,0.0529158,5.590909,5.4444447,4.7777777,7.75,22,0.5,0.4,9,9,9,1.23
223,0.072720304,5.681818,5.111111,5.5,7,22,0.5,0.4,9,9,9,1.25
224,0.0558331,4.9565215,6,4,4.6666665,23,0.5,0.4,9,9,9,1.14
225,0.0551415,4.521739,3.6,3.8333333,6.428571,23,0.5,0.4,9,9,9,1.04
226,0.0558475,4.304348,3.5,4.875,4.571429,23,0.5,0.4,9,9,9,0.99000007
227,0.0558252,5.3913045,6.4444447,4.5555553,5,23,0.5,0.4,9,9,9,1.24
228,0.0554416,2.652174,1.5714285,2.7777777,3.5714285,23,0.5,0.4,9,9,9,0.61
229,0.0569643,4.0434785,3.625,4.9,3,23,0.5,0.4,9,9,9,0.93000007
230,0.0562353,4.7391305,4.142857,3.4444444,7,23,0.5,0.4,9,9,9,1.09
231,0.0585898,4.3913045,4.111111,3.625,5.8333335,23,0.5,0.4,9,9,9,1.0100001
232,0.0601616,5.130435,5.1,5.714286,4.5,23,0.5,0.4,9,9,9,1.1800001
233,0.0613339,4.0869565,5.111111,3,4.2,23,0.5,0.4,9,9,9,0.94
234,0.0584398,3.5833333,3.857143,4,3,24,0.5,0.4,9,9,9,0.85999995
235,0.0577337,5.8333335,6.7,4.857143,5.571429,24,0.5,0.4,9,9,9,1.4
236,0.0571878,4.375,3.75,4.3,5.3333335,24,0.5,0.4,9,9,9,1.05
237,0.0600198,4.75,3.5714285,4.8,5.857143,24,0.5,0.4,9,9,9,1.14
238,0.0595601,5.2083335,5.714286,6,3.875,24,0.5,0.4,9,9,9,1.25
239,0.0581465,4.5833335,4,3.5714285,6.428571,24,0.5,0.4,9,9,9,1.1
240,0.0573126,4.75,4,5.375,5,24,0.5,0.4,9,9,9,1.14
241,0.0579791,5.6666665,5.875,5.4,5.8333335,24,0.5,0.4,9,9,9,1.3599999
242,0.0568978,3.6666667,5.285714,2.8,3.2857144,24,0.5,0.4,9,9,9,0.88
243,0.0580755,4.6666665,4.8,6.3333335,3.25,24,0.5,0.4,9,9,9,1.1199999
