iteration,time,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,vehicle_count
1,1.8507922,5.25,5.25,5.25,5.25,48
2,2.5627387,3.9583333,3.4705882,4,4.4666667,48
3,2.8213754,4.1458335,3.35,3.8666666,5.6923075,48
4,3.059935,3.4166667,2.6470587,3.625,4.0666666,48
5,5.270128,3.9583333,4.7647057,3.6875,3.3333333,48
6,5.1787877,3.2708333,3.4666667,2.75,3.8461537,48
7,5.3731866,3.375,2.9375,3.3888888,3.857143,48
8,6.0215416,3.8333333,3.3157895,4.1875,4.1538463,48
9,6.329978,3.8541667,3.3333333,4.071429,4.25,48
10,6.123662,2.8125,2.4666667,3.4444444,2.4,48
11,4.686079,3.7291667,2.8888888,3.7368422,5.090909,48
12,2.5451412,2.7083333,2.3888888,2.3529413,3.6153846,48
13,2.7913237,2.6041667,1.9411764,2.4705882,3.5714285,48
14,2.8308878,2.5625,2.642857,2.1,3.142857,48
15,3.236722,2.6458333,1.4,2.8235295,4.6363635,48
16,2.431609,2.8541667,2.7894738,2.6666667,3.142857,48
17,2.4537976,3.0833333,2.6666667,2.6666667,4.3333335,48
18,2.3655777,2.5416667,2.15,2.4285715,3.2142856,48
19,2.5199564,2.4791667,2.25,2.4210527,2.8461537,48
20,2.4904883,2.6875,2.4545455,3.3076923,2.4615386,48
21,2.555697,2.7083333,2.6470587,2.6923077,2.7777777,48
22,2.3664694,2.9375,2.1764705,3.3529413,3.357143,48
23,2.4711416,2.4375,1.7142857,3.3076923,2.7142856,48
24,2.405186,1.9791666,1.8125,1.6818181,2.9,48
25,2.389292,2.1875,2.5263157,1.7647059,2.25,48
26,2.4597468,2.4375,2.75,1.75,3.1666667,48
27,2.366813,1.9583334,2.6153846,1.1904762,2.5,48
28,2.4260554,1.625,1.5263158,1.5625,1.8461539,48
29,2.3890328,2.0416667,1.4375,2.25,2.5,48
30,2.4333959,2.375,2.75,2.0625,2.1666667,48
31,2.38067,1.5,1.3529412,1.0526316,2.4166667,48
32,2.4459155,1.8333334,1.5263158,2.0666666,2,48
33,2.40881,1.9375,1.2857143,1.875,2.5,48
34,2.4405656,1.375,1.6923077,1.0434783,1.6666666,48
35,2.3838756,1.4791666,1.8571428,1.2916666,1.4,48
36,2.540009,1.3333334,1.2105263,1.3333334,1.5454545,48
37,2.408263,1.4583334,1.5882353,1,1.8571428,48
38,2.4549415,1.125,0.7777778,1.2222222,1.5,48
39,2.3622382,1.25,1.6666666,0.7894737,1.3636364,48
40,2.4125545,1.0833334,0.6,1.1,1.6153846,48
41,2.3850975,0.9791667,0.9230769,1.0909091,0.84615386,48
42,2.3813128,0.5,0.64285713,0.5,0.33333334,48
43,2.4388366,0.625,0.6,0.36842105,1,48
44,2.3292964,0.8125,1,0.6315789,0.8666667,48
45,2.3928494,0.6666667,0.9285714,0.5294118,0.5882353,48
46,2.4126022,0.8125,0.71428573,1,0.72727275,48
47,2.6132386,0.3125,0.30769232,0.29166666,0.36363637,48
48,2.5814314,0.25,0.15384616,0.22222222,0.5,48
49,2.654896,0.20833333,0.04761905,0.29411766,0.4,48
50,2.3704934,0.0625,0.041666668,0.05882353,0.14285715,48
