iteration,time,density,average_speed,average_speed_lane_0,average_speed_lane_1,average_speed_lane_2,lane_change_probability,deceleration_probability,max_speed_lane_1,max_speed_lane_2,max_speed_lane_3,flow,vehicle_count
1,0.0549024,0.01,4.5600004,0,4.6033335,0,0.6,0.4,2,5,5,0.045599982,3
2,0.0523162,0.01,4.6266665,0,4.6233335,0,0.6,0.4,2,5,5,0.046266645,3
3,0.045341305,0.013333333,4.63,0,4.6733336,0,0.6,0.4,2,5,5,0.061733294,4
4,0.0662654,0.02,4.5299993,0,4.4649997,4.618333,0.6,0.4,2,5,5,0.09059997,6
5,0.066851005,0.023333333,4.582857,0,4.544333,4.6196666,0.6,0.4,2,5,5,0.106933296,7
6,0.068419605,0.026666665,4.5675,0,4.5913343,4.546667,0.6,0.4,2,5,5,0.12179999,8
7,0.081339896,0.030000001,4.5866656,0,4.615,4.5516667,0.6,0.4,2,5,5,0.13760003,9
8,0.084032215,0.033333335,4.616,0,4.5853333,4.6490955,0.6,0.4,2,5,5,0.15386666,10
9,0.09394311,0.036666665,4.5836363,0,4.556786,4.6131434,0.6,0.4,2,5,5,0.16806668,11
10,0.09408471,0.04,4.531667,0,4.5604286,4.513572,0.6,0.4,2,5,5,0.18126664,12
11,0.09486401,0.043333333,4.589231,0,4.595428,4.586357,0.6,0.4,2,5,5,0.19886664,13
12,0.100247785,0.046666667,4.581428,0,4.6254044,4.5425396,0.6,0.4,2,5,5,0.21379994,14
13,0.1005392,0.05,4.561334,0,4.5748796,4.5534925,0.6,0.4,2,5,5,0.22806664,15
14,0.10472691,0.05333333,4.51,0,4.5322933,4.539047,0.6,0.4,2,5,5,0.2405333,16
15,0.11275267,0.05666667,4.382353,0,4.421783,4.4200478,0.6,0.4,2,5,5,0.24833336,17
16,0.11839331,0.060000002,4.3011107,0,4.263863,4.3813343,0.6,0.4,2,5,5,0.25806668,18
17,0.12736578,0.06333333,4.228421,0,4.2211637,4.378096,0.6,0.4,2,5,5,0.2678,19
18,0.13000341,0.06666667,4.103999,0,4.1539397,4.170811,0.6,0.4,2,5,5,0.27360007,20
19,0.14563811,0.07,3.96,0,3.9286628,4.1178517,0.6,0.4,2,5,5,0.2772,21
20,0.15086628,0.07333333,3.717272,0,3.6445065,4.057388,0.6,0.4,2,5,5,0.2726,22
21,0.15250508,0.07333333,3.7654543,0,3.720725,3.994226,0.6,0.4,2,5,5,0.27613336,22
22,0.1515912,0.07666667,3.5478263,0,3.4917371,3.8907914,0.6,0.4,2,5,5,0.272,23
23,0.1460896,0.08,3.4541667,0,3.4905057,3.706304,0.6,0.4,2,5,5,0.27633333,24
24,0.1631435,0.083333336,3.4055994,0,3.4404383,3.768462,0.6,0.4,2,5,5,0.2838,25
25,0.15646692,0.086666666,3.2969232,0,3.244357,3.7072768,0.6,0.4,2,5,5,0.28573334,26
26,0.16613299,0.09,3.2414825,0,3.2366881,3.612419,0.6,0.4,2,5,5,0.29173335,27
27,0.1759732,0.093333334,3.0249994,0,2.9965122,3.4577026,0.6,0.4,2,5,5,0.2823334,28
28,0.17022139,0.096666664,3.017241,0,3.048892,3.366627,0.6,0.4,2,5,5,0.29166663,29
29,0.16773683,0.1,2.84,1.4166667,2.7613807,3.3350089,0.6,0.4,2,5,5,0.284,30
30,0.18220396,0.10333333,2.872903,1.5033334,2.8373551,3.2721975,0.6,0.4,2,5,5,0.29686671,31
31,0.19442588,0.10666666,2.7525,1.5133333,2.7147973,3.1749024,0.6,0.4,2,5,5,0.2936,32
32,0.19066343,0.11000001,2.7345457,1.4367617,2.7679873,3.1264107,0.6,0.4,2,5,5,0.30080006,33
33,0.20039771,0.11333334,2.648823,1.454,2.5764573,3.0812485,0.6,0.4,2,5,5,0.30019996,34
34,0.2015156,0.11666667,2.6091428,1.4572225,2.6533484,2.959552,0.6,0.4,2,5,5,0.30440006,35
